time,Z,ZDR,CC,KDP,Annisa type,ASOS station precip type
2020-12-24 21:02:48,22.5,0.65625,0.97833335,0.2,rain,
2020-12-24 21:09:29,24.5,0.46875,0.985,0.1,dry snow,-RA BR
2020-12-24 21:16:17,22,1.3125,0.9716667,0.15,wet snow,
2020-12-24 21:23:05,19.5,0.0625,0.965,0.05,dry snow,
2020-12-24 21:29:47,20.5,0.5,0.975,0.3,dry snow,
2020-12-24 21:36:28,24.5,1.6875,0.97833335,0.3,rain,
2020-12-24 21:43:10,21,1.28125,0.91833335,0.05,wet snow,
2020-12-24 21:49:52,20.5,1.40625,0.96166664,0.05,dry snow,
2020-12-24 21:56:19,26,0.53125,0.9716667,0.25,wet snow,-RA
2020-12-24 22:02:31,20,0.34375,0.9683333,0.15,dry snow,
2020-12-24 22:09:13,21.5,1,0.97833335,0.15,dry snow,
2020-12-24 22:15:42,20.5,1.71875,0.97833335,0.1,dry snow,
2020-12-24 22:22:10,21.5,1.59375,0.975,0.2,dry snow,
2020-12-24 22:28:27,22.5,1.875,0.9816667,0.2,dry snow,-RA
2020-12-24 22:34:45,21,1.65625,0.95166665,0.1,wet snow,-RA BR
2020-12-24 22:41:03,23,0.5,0.935,0.2,wet snow,
2020-12-24 22:47:16,21,-0.03125,0.9316667,0.15,wet snow,
2020-12-24 22:53:43,27.5,1.875,0.965,0,wet snow,-SN BR
2020-12-24 23:00:30,25,0.15625,0.9916667,0.1,rain,
2020-12-24 23:07:17,21.5,0.3125,0.97833335,0,dry snow,
2020-12-24 23:13:59,23,-0.46875,0.98833334,0,dry snow,
2020-12-24 23:20:40,24.5,-0.25,0.995,0,dry snow,-SN BR
2020-12-24 23:27:21,16.5,0.1875,0.985,0,dry snow,
2020-12-24 23:34:03,17.5,0.0625,0.98833334,0,dry snow,
2020-12-24 23:40:45,20.5,0.3125,0.985,0,dry snow,
2020-12-24 23:47:27,13.5,0.25,0.98833334,0,dry snow,
2020-12-24 23:54:08,18,-0.0625,0.9916667,0,drizzle,-SN BR
2020-12-25 0:00:50,15,-0.25,0.9816667,0,dry snow,
2020-12-25 0:07:32,15,-0.75,0.9916667,0,dry snow,
2020-12-25 0:14:14,8.5,0.25,0.975,0,dry snow,
2020-12-25 0:20:56,11,0.5625,1.005,0,wet snow,
2020-12-25 0:27:37,18.5,0,0.985,0,wet snow,-SN BR
2020-12-25 0:34:19,16,0.6875,0.97833335,0,wet snow,-SN BR
2020-12-25 0:41:01,15,0.21875,0.98833334,0,dry snow,
2020-12-25 0:47:43,17,-0.1875,0.97833335,0.05,dry snow,-SN BR
2020-12-25 0:54:25,19.5,0.03125,0.9916667,0,wet snow,-SN BR
2020-12-25 1:01:06,16,-0.65625,0.9916667,-0.05,drizzle,
2020-12-25 1:07:48,18,-0.21875,0.98833334,0.05,drizzle,-SN BR
2020-12-25 1:14:30,19.5,0.375,0.98833334,0.05,dry snow,-SN BR
2020-12-25 1:21:17,19.5,0.21875,0.9916667,0.05,dry snow,-SN BR
2020-12-25 1:28:04,22.5,0.1875,0.9916667,0,dry snow,
2020-12-25 1:34:52,21,-0.125,0.995,0.05,dry snow,
2020-12-25 1:41:40,25,0.28125,0.9916667,0.1,dry snow,
2020-12-25 1:48:28,26,0.34375,0.995,0.05,dry snow,-SN BR
2020-12-25 1:55:15,24,0.15625,0.995,0.05,dry snow,-SN BR
2020-12-25 2:02:03,21.5,0.65625,0.98833334,-0.05,wet snow,
2020-12-25 2:08:51,23.5,0.4375,0.995,0.1,dry snow,
2020-12-25 2:15:39,19.5,0.0625,0.98833334,0,dry snow,-SN BR
2020-12-25 2:22:26,24,0.0625,0.995,0.05,drizzle,
2020-12-25 2:29:14,24,0.40625,0.99833333,0.05,dry snow,
2020-12-25 2:36:01,24,0.375,0.995,0.05,dry snow,
2020-12-25 2:42:48,22.5,0.40625,0.97833335,0.05,wet snow,
2020-12-25 2:49:36,26,-0.1875,0.995,0.05,dry snow,-SN BR
2020-12-25 2:56:23,25,-0.3125,0.995,0.05,dry snow,
