station,valid,p01m
DKK,2020-12-24 20:53,0.76
DKK,2020-12-24 21:07,0.25
DKK,2020-12-24 21:53,0.76
DKK,2020-12-24 22:28,0.25
DKK,2020-12-24 22:35,0.25
DKK,2020-12-24 22:53,0.25
DKK,2020-12-24 23:20,0.51
DKK,2020-12-24 23:53,0.51
DKK,2020-12-25 0:27,0.25
DKK,2020-12-25 0:35,0.25
DKK,2020-12-25 0:45,0.25
DKK,2020-12-25 0:53,0.25
DKK,2020-12-25 1:05,0
DKK,2020-12-25 1:12,0
DKK,2020-12-25 1:19,0
DKK,2020-12-25 1:51,0.25
DKK,2020-12-25 1:53,0.25
DKK,2020-12-25 2:19,1.02
DKK,2020-12-25 2:53,1.52
