time,Z,ZDR,CC,KDP,Precip Type,ASOS Station
2022-11-18 18:02:39,-9.5,-2.40625,0.68833333,0,dry snow,
2022-11-18 18:08:55,-4,1.65625,0.88166666,0,dry snow,
2022-11-18 18:15:26,9,1.21875,0.99833333,0,dry snow,
2022-11-18 18:22:26,-1.5,0.8125,1.0516666,0,dry snow,
2022-11-18 18:28:57,-9.5,-2.625,0.27833334,0,dry snow,
2022-11-18 18:35:27,--,--,--,0,dry snow,
2022-11-18 18:41:58,-5,11.40625,1.0516666,0,dry snow,
2022-11-18 18:48:44,8,0,0.98833334,-0.05,dry snow,
2022-11-18 18:55:30,23,-0.09375,0.995,0.05,dry snow,-SN
2022-11-18 19:02:29,12.5,0.65625,0.9716667,0,dry snow,-SN
2022-11-18 19:09:29,12,-0.25,0.9816667,-0.05,dry snow,
2022-11-18 19:16:29,19,-0.3125,0.985,0,dry snow,-SN
2022-11-18 19:23:15,27.5,-0.0625,0.995,0.05,dry snow,-SN
2022-11-18 19:29:45,18.5,-0.0625,0.9916667,0.1,dry snow,SN FG
2022-11-18 19:36:16,18,-0.34375,0.99833333,0.15,dry snow,-SN
2022-11-18 19:42:47,30.5,-0.1875,0.99833333,-0.05,dry snow,-SN
2022-11-18 19:49:32,14,0.40625,0.985,0,dry snow,
2022-11-18 19:56:32,19.5,-0.78125,0.98833334,0.1,dry snow,-SN
2022-11-18 20:04:13,29,-0.375,0.9916667,0.1,dry snow,-SN BR
2022-11-18 20:10:44,27,0.0625,0.9916667,0.05,dry snow,
2022-11-18 20:17:00,23,0.03125,0.9916667,0,dry snow,
2022-11-18 20:23:17,24.5,0.15625,0.995,0,dry snow,
2022-11-18 20:29:19,26.5,-0.125,0.99833333,0,dry snow,
2022-11-18 20:35:20,21,-0.4375,0.98833334,0,dry snow,-SN BR
2022-11-18 20:41:37,23.5,0.03125,0.9916667,-0.05,dry snow,-SN BR
2022-11-18 20:48:08,19.5,0,0.995,-0.05,dry snow,
2022-11-18 20:54:24,17.5,-0.03125,0.9683333,-0.05,dry snow,SN
2022-11-18 21:00:55,20,-0.28125,0.985,0.15,dry snow,
2022-11-18 21:07:25,24,0.25,0.9816667,-0.05,dry snow,
2022-11-18 21:13:56,30,-0.03125,0.9916667,0.1,dry snow,
2022-11-18 21:20:28,25,-0.3125,0.9916667,0.15,dry snow,+SN FZFG
2022-11-18 21:26:45,27.5,-0.4375,0.995,0.05,dry snow,
2022-11-18 21:33:02,27.5,0.09375,0.975,0.1,dry snow,
2022-11-18 21:39:32,26.5,-0.09375,0.995,0.05,dry snow,SN FZFG
2022-11-18 21:45:49,28.5,-0.59375,0.995,0.2,dry snow,
2022-11-18 21:52:20,24.5,0,0.9916667,0.2,dry snow,-SN BR
2022-11-18 21:58:36,28,-0.3125,0.995,0.2,dry snow,-SN BR
2022-11-18 22:04:52,29,-0.15625,0.995,0.1,dry snow,
2022-11-18 22:11:09,21.5,-0.1875,0.985,0.05,dry snow,
2022-11-18 22:17:12,21.5,0.34375,0.995,0.05,dry snow,-SN BR
2022-11-18 22:23:14,25,0.0625,0.9916667,0.05,dry snow,
2022-11-18 22:29:16,26.5,0,0.995,0.1,dry snow,
2022-11-18 22:35:19,29.5,0.03125,0.995,0.05,dry snow,-SN
2022-11-18 22:41:20,23.5,0.53125,0.9916667,0.1,dry snow,
2022-11-18 22:47:23,26.5,0.1875,0.98833334,0.1,dry snow,-SN BR
2022-11-18 22:53:39,29,-0.5,0.995,-0.05,dry snow,-SN BR
2022-11-18 22:59:41,23.5,0.3125,0.9916667,0.1,dry snow,-SN BR
2022-11-18 23:05:43,26,-0.1875,0.9916667,0.05,dry snow,
2022-11-18 23:11:45,27,-0.59375,0.995,0.1,dry snow,
2022-11-18 23:17:47,26,-0.3125,0.995,0.05,dry snow,SN FZFG
2022-11-18 23:23:35,26.5,-0.25,0.995,0,dry snow,-SN BR
2022-11-18 23:29:23,32.5,-0.0625,0.995,0.05,dry snow,
2022-11-18 23:35:10,36,-0.125,0.9916667,0.15,dry snow,-SN BR
2022-11-18 23:41:12,21,0.375,0.985,0.05,dry snow,SN FZFG
2022-11-18 23:47:29,25,0.125,0.9916667,-0.05,dry snow,
2022-11-18 23:53:31,23.5,-0.21875,0.9916667,0,dry snow,-SN BR
2022-11-18 23:59:32,25,0.03125,0.9816667,0,dry snow,-SN
