#DEBUG: Format Typ    -> comma,,
#DEBUG: Time Period   -> 2022-11-18 00:00:00+00:00 2022-11-20 00:00:00+00:00,,
#DEBUG: Time Zone     -> Etc/UTC,,
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978,,
#DEBUG: Entries Found -> -1,,
station,valid,p01m
DKK,11/18/2022 17:53,0
DKK,11/18/2022 18:53,0
DKK,11/18/2022 19:03,0
DKK,11/18/2022 19:17,0.25
DKK,11/18/2022 19:20,0.25
DKK,11/18/2022 19:26,0.25
DKK,11/18/2022 19:34,0.25
DKK,11/18/2022 19:38,0.25
DKK,11/18/2022 19:53,0.25
DKK,11/18/2022 20:06,0
DKK,11/18/2022 20:32,0
DKK,11/18/2022 20:42,0.25
DKK,11/18/2022 20:53,0.25
DKK,11/18/2022 21:19,0.51
DKK,11/18/2022 21:37,1.52
DKK,11/18/2022 21:53,1.52
DKK,11/18/2022 21:58,0
DKK,11/18/2022 22:19,0.25
DKK,11/18/2022 22:32,0.25
DKK,11/18/2022 22:46,0.51
DKK,11/18/2022 22:53,0.76
DKK,11/18/2022 23:00,0.25
DKK,11/18/2022 23:19,1.02
DKK,11/18/2022 23:25,1.27
DKK,11/18/2022 23:33,1.52
DKK,11/18/2022 23:40,2.29
DKK,11/18/2022 23:53,2.54
DKK,11/18/2022 23:58,0
DKK,11/19/2022 0:05,0
DKK,11/19/2022 0:08,0
DKK,11/19/2022 0:14,0
DKK,11/19/2022 0:21,0.51
DKK,11/19/2022 0:33,1.27
DKK,11/19/2022 0:41,1.52
DKK,11/19/2022 0:50,1.52
DKK,11/19/2022 0:53,1.78
